Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
125647,6/6/1944,ETO,USA,9 AF,,GB17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,150.0,21.0,21.0,21.0,,,,,,,,21.0,,,,,,,,,,21.0,,,205690.0,,,,,,,GB17
125648,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,150.0,24.0,24.0,24.0,,,,,,,,72.0,,,,,,,,,,72.0,,,205848.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125649,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,150.0,21.0,21.0,21.0,,,,,,,,21.0,,,,,,,,,,21.0,,,205853.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125650,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,141.0,22.0,22.0,22.0,,,,,,,,20.0,,,,,,,,,,20.0,,,102687.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125651,6/6/1944,ETO,USA,9 AF,,GB17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,141.0,22.0,22.0,22.0,,,,,,,,20.0,,,,,,,,,,20.0,,,205688.0,,,,,,,GB17
125652,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,141.0,22.0,22.0,22.0,,,,,,,,20.0,,,,,,,,,,20.0,,,205851.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125653,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",2,48.73,-0.02,139.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,166295.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125654,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",2,48.73,-0.02,139.0,4.0,4.0,4.0,,,,,,,,12.0,,,,,,,,,,12.0,,,166297.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125655,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",2,48.73,-0.02,139.0,10.0,10.0,10.0,,,,,,,,30.0,,,,,,,,,,30.0,,,166302.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125656,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",2,48.73,-0.02,139.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,166303.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125657,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",2,48.73,-0.02,139.0,4.0,4.0,4.0,,,,,,,,12.0,,,,,,,,,,12.0,,,166304.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125658,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",2,48.73,-0.02,139.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,166306.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
