wwii_id,master_index_number,msndate,theater,naf,country_flying_mission,tgt_country_code,tgt_country,tgt_location,tgt_type,tgt_id,tgt_industry_code,tgt_industry,source_latitude,source_longitude,latitude,longitude,unit_id,mds,aircraft_name,msn_type,tgt_priority,tgt_priority_explanation,ac_attacking,altitude,altitude_feet,number_of_he,type_of_he,lbs_he,tons_of_he,number_of_ic,type_of_ic,lbs_ic,tons_of_ic,number_of_frag,type_of_frag,lbs_frag,tons_of_frag,total_lbs,total_tons,takeoff_base,takeoff_country,takeoff_latitude,takeoff_longitude,ac_lost,ac_damaged,ac_airborne,ac_dropping,time_over_target,sighting_method_code,sighting_explanation,bda,callsign,rounds_ammo,spares_return_ac,wx_fail_ac,mech_fail_ac,misc_fail_ac,target_comment,mission_comments,source,database_edit_comments,weapon_type,weapon_description
125631,205904.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,4,TARGET OF LAST RESORT,2.0,,,,,,3.0,,,,,,,,,,3.0,,,,,,,2.0,2.0,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125632,295033.0,1944-06-06,ETO,RAF,GREAT BRITAIN,7.0,FRANCE,CAEN,CITY AREA,6882.0,2.0,CITIES TOWNS AND URBAN AREAS,4911,22,49.18,-0.37,,HVY,LANCASTER,,,,,250.0,,,,,483.0,,,,,,,,,,483.0,,,,,,,,,,,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125633,295034.0,1944-06-06,ETO,RAF,GREAT BRITAIN,7.0,FRANCE,CAEN,CITY AREA,6882.0,2.0,CITIES TOWNS AND URBAN AREAS,4911,22,49.18,-0.37,,HVY,LANCASTER,,1,PRIMARY TARGET,17.0,250.0,,,,,6.0,,,,,,,,,,6.0,,,,,,,17.0,17.0,,,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125634,166291.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ARGENTAN,MARSHALLING YARD,1455.0,63.0,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",4844,1,48.73,-0.02,,B17,B17,,1,PRIMARY TARGET,9.0,195.0,,,,,16.0,,,,,,,,,,16.0,,,,,,,9.0,9.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125635,166305.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ARGENTAN,MARSHALLING YARD,1455.0,63.0,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",4844,1,48.73,-0.02,,B17,B17,,2,SECONDARY TARGET,9.0,190.0,,,,,27.0,,,,,,,,,,27.0,,,,,,,9.0,9.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125636,166292.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ARGENTAN,MARSHALLING YARD,1455.0,63.0,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",4844,1,48.73,-0.02,,B17,B17,,1,PRIMARY TARGET,22.0,180.0,,,,,44.0,,,,,,,,,,44.0,,,,,,,22.0,22.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125637,166294.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ARGENTAN,MARSHALLING YARD,1455.0,63.0,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",4844,1,48.73,-0.02,,B17,B17,,1,PRIMARY TARGET,12.0,180.0,,,,,33.0,,,,,,,,,,33.0,,,,,,,12.0,12.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125638,102731.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ST LO,TACTICAL TARGETS,41252.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4907,105,49.12,-1.08,,B24,B24,,1,PRIMARY TARGET,9.0,160.0,,,,,24.0,,,,,,,,,,24.0,,,,,,,9.0,9.0,,1,VISUAL,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125639,205723.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ST LO,TACTICAL TARGETS,41252.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4907,105,49.12,-1.08,,GB24,B24,,1,PRIMARY TARGET,9.0,160.0,,,,,24.0,,,,,,,,,,24.0,,,,,,,9.0,9.0,,1,VISUAL,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125640,205889.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ST LO,TACTICAL TARGETS,41252.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4907,105,49.12,-1.08,,B24,B24,,1,PRIMARY TARGET,9.0,160.0,,,,,24.0,,,,,,,,,,24.0,,,,,,,9.0,9.0,,1,VISUAL,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
