Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID
120028,1944-06-02,ETO,,,,GB24,,,,,,,4738,FRANCE,BOIR,,V - WEAPON LAUNCHING SITES,1,50.23,2.28,220.0,28.0,28.0,28.0,,,,,,,,84.0,,,,,,,,,,84.0,,,205076.0
120029,1944-06-02,ETO,,,,B24,,,,,,,4738,FRANCE,BOIR,,V - WEAPON LAUNCHING SITES,1,50.23,2.28,220.0,28.0,28.0,28.0,,,,,,,,84.0,,,,,,,,,,84.0,,,102274.0
120030,1944-06-02,ETO,,,,B24,,,,,,,4738,FRANCE,BOIR,,V - WEAPON LAUNCHING SITES,1,50.23,2.28,220.0,28.0,28.0,28.0,,,,,,,,84.0,,,,,,,,,,84.0,,,205133.0
120031,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,220.0,16.0,16.0,16.0,,,,,,,,47.0,,,,,,,,,,47.0,,,102284.0
120032,1944-06-02,ETO,,,,GB17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,220.0,16.0,16.0,16.0,,,,,,,,47.0,,,,,,,,,,47.0,,,205056.0
120033,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,220.0,16.0,16.0,16.0,,,,,,,,47.0,,,,,,,,,,47.0,,,205143.0
120034,1944-06-02,ETO,,,,B17,,,,,,,10259,FRANCE,DANNES,,V - WEAPON LAUNCHING SITES,1,50.58,1.62,217.0,17.0,17.0,17.0,,,,,,,,42.0,,,,,,,,,,42.0,,,102287.0
120035,1944-06-02,ETO,,,,GB17,,,,,,,10259,FRANCE,DANNES,,V - WEAPON LAUNCHING SITES,1,50.58,1.62,217.0,17.0,17.0,17.0,,,,,,,,42.0,,,,,,,,,,42.0,,,205078.0
120036,1944-06-02,ETO,,,,B17,,,,,,,10259,FRANCE,DANNES,,V - WEAPON LAUNCHING SITES,1,50.58,1.62,217.0,17.0,17.0,17.0,,,,,,,,42.0,,,,,,,,,,42.0,,,205146.0
120037,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,216.0,23.0,23.0,23.0,,,,,,,,58.0,,,,,,,,,,58.0,,,102282.0
120038,1944-06-02,ETO,,,,GB17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,216.0,23.0,23.0,23.0,,,,,,,,58.0,,,,,,,,,,58.0,,,205054.0
120039,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,216.0,23.0,23.0,23.0,,,,,,,,58.0,,,,,,,,,,58.0,,,205141.0
120040,1944-06-02,ETO,,,,B17,,,,,,,91,FRANCE,ACHERES,,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.37,2.57,215.0,12.0,12.0,12.0,,,,,,,,36.0,,,,,,,,,,36.0,,,166134.0
120041,1944-06-02,ETO,,,,B17,,,,,,,91,FRANCE,ACHERES,,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.37,2.57,215.0,12.0,12.0,12.0,,,,,,,,36.0,,,,,,,,,,36.0,,,166135.0
120042,1944-06-02,ETO,,,,B17,,,,,,,27056,FRANCE,MASSAY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,47.15,2.0,214.0,14.0,14.0,14.0,,,,,,,,42.0,,,,,,,,,,42.0,,,166118.0
120043,1944-06-02,ETO,,,,GB17,,,,,,,27056,FRANCE,MASSAY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,47.15,2.0,214.0,14.0,14.0,14.0,,,,,,,,42.0,,,,,,,,,,42.0,,,166131.0
120044,1944-06-02,ETO,,,,GB24,,,,,,,4738,FRANCE,BOIR,,V - WEAPON LAUNCHING SITES,1,50.23,2.28,212.0,30.0,30.0,30.0,,,,,,,,90.0,,,,,,,,,,90.0,,,205077.0
120045,1944-06-02,ETO,,,,B24,,,,,,,4738,FRANCE,BOIR,,V - WEAPON LAUNCHING SITES,1,50.23,2.28,212.0,30.0,30.0,30.0,,,,,,,,90.0,,,,,,,,,,90.0,,,102275.0
120046,1944-06-02,ETO,,,,B24,,,,,,,4738,FRANCE,BOIR,,V - WEAPON LAUNCHING SITES,1,50.23,2.28,212.0,30.0,30.0,30.0,,,,,,,,90.0,,,,,,,,,,90.0,,,205134.0
120047,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,212.0,10.0,10.0,10.0,,,,,,,,30.0,,,,,,,,,,30.0,,,102253.0
120048,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,212.0,10.0,10.0,10.0,,,,,,,,30.0,,,,,,,,,,30.0,,,205042.0
120049,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,212.0,10.0,10.0,10.0,,,,,,,,30.0,,,,,,,,,,30.0,,,205188.0
120050,1944-06-02,ETO,,,,B17,,,,,,,40885,FRANCE,ST CECILE,,GUN EMPLACEMENTS,1,50.58,1.58,211.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,102310.0
120051,1944-06-02,ETO,,,,GB17,,,,,,,40885,FRANCE,ST CECILE,,GUN EMPLACEMENTS,1,50.58,1.58,211.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,205064.0
120052,1944-06-02,ETO,,,,B17,,,,,,,40885,FRANCE,ST CECILE,,GUN EMPLACEMENTS,1,50.58,1.58,211.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,205167.0
120053,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,210.0,5.0,5.0,5.0,,,,,,,,15.0,,,,,,,,,,15.0,,,102252.0
120054,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,210.0,5.0,5.0,5.0,,,,,,,,15.0,,,,,,,,,,15.0,,,205041.0
120055,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,210.0,5.0,5.0,5.0,,,,,,,,15.0,,,,,,,,,,15.0,,,205187.0
